phase,mouse_0_percent_time_running,mouse_1_percent_time_running
2.0,35.833333333333336,55.28455284552846
3.0,76.66666666666667,70.0
4.0,58.333333333333336,15.0
5.0,28.333333333333332,23.333333333333332
6.0,20.238095238095237,31.428571428571427
8.0,32.38095238095238,38.47980997624703
10.0,2.380952380952381,28.333333333333332
12.0,15.238095238095239,25.476190476190474
14.0,11.904761904761903,27.61904761904762
16.0,0.9523809523809524,1.9047619047619049
18.0,5.714285714285714,37.38095238095238
20.0,0.4761904761904762,1.4285714285714286
22.0,6.666666666666667,0.7142857142857143
24.0,16.904761904761905,34.523809523809526
