,frame,xmin,ymin,xmax,ymax,confidence,class,name
0,0,154.363037109375,33.629364013671875,180.097412109375,50.468666076660156,0.9089937210083008,15,mouse
1,0,135.50277709960938,139.9208984375,174.37744140625,167.95513916015625,0.25582146644592285,15,mouse
2,30,83.375244140625,105.95545196533203,103.96183776855469,127.8652572631836,0.8764103055000305,15,mouse
3,30,153.6959686279297,33.742000579833984,182.8173370361328,50.27231216430664,0.872926652431488,15,mouse
4,30,294.0419921875,10.108055114746094,318.011962890625,43.05319595336914,0.3486676812171936,15,mouse
5,30,135.0885009765625,139.8998260498047,175.28668212890625,167.2213592529297,0.2653733193874359,15,mouse
6,60,85.75321960449219,107.74455261230469,112.78092956542969,127.23519897460938,0.9535531401634216,15,mouse
7,60,153.403564453125,32.790096282958984,183.20199584960938,50.218502044677734,0.904331386089325,15,mouse
8,60,135.23377990722656,140.20037841796875,174.92613220214844,166.87896728515625,0.273906409740448,15,mouse
9,90,87.67911529541016,106.48250579833984,113.7948989868164,127.35684967041016,0.9195000529289246,15,mouse
10,90,153.65138244628906,32.829429626464844,182.6007843017578,50.210182189941406,0.88042813539505,15,mouse
11,90,135.16859436035156,140.09046936035156,174.6670379638672,167.2219696044922,0.35088154673576355,15,mouse
12,120,88.3143539428711,105.9021987915039,112.85535430908203,125.81682586669922,0.8886270523071289,15,mouse
13,120,153.4727325439453,32.988250732421875,182.9087677001953,50.267921447753906,0.8871493339538574,15,mouse
14,120,135.40733337402344,140.1746368408203,174.45262145996094,167.4988250732422,0.3094855546951294,15,mouse
15,150,153.50601196289062,35.70367431640625,188.60943603515625,53.32830810546875,0.8834922313690186,15,mouse
16,150,89.22605895996094,105.63286590576172,114.71200561523438,125.4520034790039,0.8126056790351868,15,mouse
17,150,134.9940185546875,139.7923583984375,174.62677001953125,167.35333251953125,0.26902705430984497,15,mouse
18,180,154.6762237548828,33.324764251708984,180.6538543701172,50.219661712646484,0.9089947938919067,15,mouse
19,180,88.56141662597656,105.9043960571289,115.65693664550781,125.98555755615234,0.8727861046791077,15,mouse
20,180,135.88336181640625,139.88467407226562,174.35372924804688,167.2625732421875,0.28961196541786194,15,mouse
21,210,154.330810546875,32.72848892211914,180.70223999023438,50.27861404418945,0.8858687877655029,15,mouse
22,210,88.20214080810547,105.79515838623047,112.18799591064453,126.07506561279297,0.8576498627662659,15,mouse
23,210,134.91114807128906,140.43698120117188,174.77906799316406,167.18170166015625,0.3184356689453125,15,mouse
24,240,153.997314453125,32.04225158691406,181.4622802734375,50.086830139160156,0.8771252632141113,15,mouse
25,240,88.76959991455078,105.48576354980469,114.2769546508789,125.56895446777344,0.8442851305007935,15,mouse
26,240,134.27493286132812,140.0915985107422,175.94290161132812,167.8295135498047,0.27734774351119995,15,mouse
27,270,153.8977813720703,32.88588333129883,181.4008331298828,50.04885482788086,0.9144182801246643,15,mouse
28,270,88.83493041992188,106.29680633544922,118.69721984863281,125.43914031982422,0.8632538914680481,15,mouse
29,270,134.87399291992188,139.9596405029297,175.35610961914062,167.3350372314453,0.2616804838180542,15,mouse
30,300,154.5387725830078,32.93618392944336,180.0463104248047,50.363651275634766,0.904660701751709,15,mouse
31,300,88.852783203125,105.79015350341797,113.94084167480469,126.27017974853516,0.8262468576431274,15,mouse
32,300,135.25390625,139.4403076171875,174.85845947265625,167.7548828125,0.2887822389602661,15,mouse
33,330,154.1558380126953,33.308189392089844,181.9738311767578,50.11254119873047,0.9061325788497925,15,mouse
34,330,88.54032897949219,105.74921417236328,113.65695190429688,125.96939849853516,0.8424687385559082,15,mouse
35,330,134.75686645507812,140.3053436279297,175.26846313476562,167.8275604248047,0.30870404839515686,15,mouse
36,360,153.82054138183594,34.09172439575195,187.2683868408203,50.05576705932617,0.9371621012687683,15,mouse
37,360,88.44898986816406,106.0544662475586,112.92642211914062,126.27080535888672,0.8657431602478027,15,mouse
38,360,133.716064453125,139.55628967285156,176.8260498046875,167.78587341308594,0.32540881633758545,15,mouse
39,390,153.28890991210938,32.78511428833008,184.79513549804688,50.019962310791016,0.9305502772331238,15,mouse
40,390,88.90960693359375,105.84907531738281,117.39103698730469,125.16690063476562,0.8650068044662476,15,mouse
41,390,134.9033660888672,139.47010803222656,175.33470153808594,167.1991729736328,0.2805481255054474,15,mouse
42,420,153.74989318847656,33.08544921875,184.1862335205078,49.858428955078125,0.9431872367858887,15,mouse
43,420,89.06005859375,105.63397979736328,114.00164794921875,125.41805267333984,0.8510856032371521,15,mouse
44,420,134.19757080078125,140.1269989013672,175.73486328125,167.58433532714844,0.3664742410182953,15,mouse
45,450,153.71461486816406,32.850067138671875,183.7332000732422,49.80384826660156,0.9349585175514221,15,mouse
46,450,88.69557189941406,105.36894226074219,113.0157470703125,125.13362121582031,0.8608995079994202,15,mouse
47,450,134.3619842529297,139.4748992919922,176.0756378173828,167.52061462402344,0.28871166706085205,15,mouse
48,480,154.11997985839844,33.16059494018555,180.70655822753906,50.02997970581055,0.9352843165397644,15,mouse
49,480,89.17427062988281,105.76001739501953,113.26840209960938,126.26761627197266,0.8670747876167297,15,mouse
50,480,134.5532684326172,140.37466430664062,174.8447723388672,167.30270385742188,0.2943556606769562,15,mouse
51,510,154.33702087402344,33.0006217956543,177.71583557128906,50.22842788696289,0.9063975811004639,15,mouse
52,510,88.934814453125,105.49053192138672,113.37501525878906,125.9935531616211,0.8136581182479858,15,mouse
