,frame,Unnamed: 0,xmin,time,mouse,running,phase,speed,velocity,velocity_new,work_per_kg
0,0.0,1.0,127.44994354248048,0.0,0.0,0.0,0.0,0.0,,,0.0
1,30.0,3.0,120.22665405273438,0.016666666666666666,0.0,1.0,1.0,0.0,-1.4446578979492215,-1.4446578979492215,0.0
2,60.0,5.0,101.74002075195312,0.03333333333333333,0.0,1.0,1.0,0.0,-3.69732666015625,-3.69732666015625,0.0
3,90.0,0.0,155.47750015258785,0.05,0.0,0.0,1.0,0.0,10.747495880126944,10.747495880126944,0.0
4,120.0,8.0,127.06019592285156,0.06666666666666667,0.0,1.0,1.0,0.0,-5.683460845947257,-5.683460845947257,0.0
5,150.0,11.0,125.76258087158205,0.08333333333333333,0.0,1.0,1.0,0.0,-0.2595230102539034,-0.2595230102539034,0.0
6,180.0,14.0,125.66831970214844,0.1,0.0,1.0,1.0,0.0,-0.01885223388672159,-0.01885223388672159,0.0
7,210.0,17.0,125.1572036743164,0.11666666666666667,0.0,1.0,1.0,0.0,-0.10222320556640625,-0.10222320556640625,0.0
8,240.0,20.0,120.52889251708984,0.13333333333333333,0.0,1.0,1.0,0.0,-0.9256622314453125,-0.9256622314453125,0.0
9,270.0,23.0,118.17477416992188,0.15,0.0,1.0,1.0,0.0,-0.47082366943359377,-0.47082366943359377,0.0
10,300.0,25.0,120.59999084472656,0.16666666666666666,0.0,0.0,1.0,0.0,0.4850433349609375,0.4850433349609375,0.0
11,330.0,27.0,124.18409729003906,0.18333333333333332,0.0,0.0,1.0,0.0,0.7168212890625,0.7168212890625,0.0
12,360.0,31.0,125.90193176269533,0.2,0.0,0.0,1.0,0.0,0.34356689453125283,0.34356689453125283,0.0
13,390.0,34.0,125.1429443359375,0.21666666666666667,0.0,1.0,1.0,0.0,-0.15179748535156534,-0.15179748535156534,0.0
14,420.0,37.0,126.90666961669922,0.23333333333333334,0.0,0.0,1.0,0.0,0.35274505615234375,0.35274505615234375,0.0
15,450.0,40.0,130.39215087890625,0.25,0.0,0.0,1.0,0.0,0.6970962524414063,0.6970962524414063,0.0
16,480.0,43.0,127.34939575195312,0.26666666666666666,0.0,0.0,1.0,0.0,-0.608551025390625,-0.608551025390625,0.0
17,510.0,46.0,127.76424407958984,0.2833333333333333,0.0,0.0,1.0,0.0,0.08296966552734375,0.08296966552734375,0.0
18,540.0,49.0,126.74395751953124,0.3,0.0,1.0,1.0,0.0,-0.2040573120117216,-0.2040573120117216,0.0
19,570.0,52.0,126.75584411621094,0.31666666666666665,0.0,0.0,1.0,0.0,0.002377319335940342,0.002377319335940342,0.0
20,600.0,0.0,155.47750015258785,0.3333333333333333,0.0,0.0,1.0,0.0,5.7443312072753825,5.7443312072753825,0.0
21,630.0,56.0,125.05726623535156,0.35,0.0,1.0,1.0,0.0,-6.084046783447258,-6.084046783447258,0.0
22,660.0,60.0,125.05564880371094,0.36666666666666664,0.0,1.0,1.0,0.0,-0.000323486328125,-0.000323486328125,0.0
23,690.0,63.0,124.01750946044922,0.38333333333333336,0.0,1.0,1.0,0.0,-0.20762786865234376,-0.20762786865234376,0.0
24,720.0,66.0,123.55410766601562,0.4,0.0,1.0,1.0,0.0,-0.09268035888671874,-0.09268035888671874,0.0
25,750.0,68.0,125.03326416015624,0.4166666666666667,0.0,0.0,1.0,0.0,0.29583129882812215,0.29583129882812215,0.0
26,780.0,71.0,125.10104370117188,0.43333333333333335,0.0,0.0,1.0,0.0,0.013555908203127843,0.013555908203127843,0.0
27,810.0,73.0,124.38249206542967,0.45,0.0,1.0,1.0,0.0,-0.14371032714844034,-0.14371032714844034,0.0
28,840.0,75.0,123.8939437866211,0.4666666666666667,0.0,1.0,1.0,0.0,-0.0977096557617159,-0.0977096557617159,0.0
29,870.0,78.0,129.47410583496094,0.48333333333333334,0.0,0.0,1.0,0.0,1.1160324096679688,1.1160324096679688,0.0
30,900.0,80.0,130.86758422851562,0.5,0.0,0.0,1.0,0.0,0.2786956787109375,0.2786956787109375,0.0
31,930.0,0.0,155.47750015258785,0.5166666666666667,0.0,0.0,1.0,0.0,4.9219831848144455,4.9219831848144455,0.0
32,960.0,83.0,130.36509704589844,0.5333333333333333,0.0,0.0,1.0,0.0,-5.022480621337882,-5.022480621337882,0.0
33,990.0,85.0,126.7672119140625,0.55,0.0,1.0,1.0,0.0,-0.7195770263671875,-0.7195770263671875,0.0
34,1020.0,87.0,121.05160522460938,0.5666666666666667,0.0,1.0,1.0,0.0,-1.143121337890625,-1.143121337890625,0.0
35,1050.0,88.0,120.64534759521484,0.5833333333333334,0.0,1.0,1.0,0.0,-0.08125152587890624,-0.08125152587890624,0.0
36,1080.0,91.0,120.75617980957033,0.6,0.0,0.0,1.0,0.0,0.022166442871096592,0.022166442871096592,0.0
37,1110.0,93.0,118.84148406982422,0.6166666666666667,0.0,1.0,1.0,0.0,-0.38293914794922157,-0.38293914794922157,0.0
38,1140.0,94.0,115.97805786132812,0.6333333333333333,0.0,1.0,1.0,0.0,-0.5726852416992188,-0.5726852416992188,0.0
39,1170.0,96.0,115.55731201171876,0.65,0.0,1.0,1.0,0.0,-0.08414916992187216,-0.08414916992187216,0.0
40,1200.0,98.0,113.91171264648438,0.6666666666666666,0.0,1.0,1.0,0.0,-0.32911987304687784,-0.32911987304687784,0.0
41,1230.0,100.0,77.6885986328125,0.6833333333333333,0.0,1.0,1.0,0.0,-7.244622802734375,-7.244622802734375,0.0
42,1260.0,102.0,63.364234924316406,0.7,0.0,1.0,1.0,0.0,-2.8648727416992186,-2.8648727416992186,0.0
