,frame,Unnamed: 0,xmin,time,mouse,running,phase,speed,velocity,velocity_new,work_per_kg
0,0.0,1.0,111.44293975830078,0.0,0.0,1.0,0.0,0.0,,,0.0
1,30.0,2.0,114.96436309814452,0.016666666666666666,0.0,0.0,1.0,0.0,0.7042846679687471,0.7042846679687471,0.0
2,60.0,0.0,157.12249908447265,0.03333333333333333,0.0,0.0,1.0,0.0,8.431627197265627,8.431627197265627,0.0
3,90.0,7.0,115.64895629882812,0.05,0.0,1.0,1.0,0.0,-8.294708557128905,-8.294708557128905,0.0
4,120.0,8.0,115.83863830566406,0.06666666666666667,0.0,0.0,1.0,0.0,0.0379364013671875,0.0379364013671875,0.0
5,150.0,10.0,105.50633239746094,0.08333333333333333,0.0,1.0,1.0,0.0,-2.066461181640625,-2.066461181640625,0.0
6,180.0,12.0,76.45257568359375,0.1,0.0,1.0,1.0,0.0,-5.810751342773438,-5.810751342773438,0.0
7,210.0,14.0,36.32029724121094,0.11666666666666667,0.0,1.0,1.0,0.0,-8.026455688476563,-8.026455688476563,0.0
8,240.0,0.0,157.12249908447265,0.13333333333333333,0.0,0.0,1.0,0.0,24.160440368652342,24.160440368652342,0.0
9,270.0,0.0,157.12249908447265,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,300.0,0.0,157.12249908447265,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,330.0,23.0,36.03229522705078,0.18333333333333332,0.0,1.0,1.0,0.0,-24.218040771484375,-24.218040771484375,0.0
12,360.0,24.0,36.16468048095703,0.2,0.0,0.0,1.0,0.0,0.02647705078125,0.02647705078125,0.0
13,390.0,0.0,157.12249908447265,0.21666666666666667,0.0,0.0,1.0,0.0,24.191563720703122,24.191563720703122,0.0
14,420.0,0.0,157.12249908447265,0.23333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,450.0,30.0,59.97164916992188,0.25,0.0,1.0,1.0,0.0,-19.430169982910154,-19.430169982910154,0.0
16,480.0,32.0,85.88809967041016,0.26666666666666666,0.0,0.0,1.0,0.0,5.183290100097655,5.183290100097655,0.0
17,510.0,34.0,119.363037109375,0.2833333333333333,0.0,0.0,1.0,0.0,6.694987487792969,6.694987487792969,0.0
18,540.0,36.0,129.26397705078125,0.3,0.0,0.0,1.0,0.0,1.98018798828125,1.98018798828125,0.0
19,570.0,38.0,140.4470672607422,0.31666666666666665,0.0,0.0,1.0,0.0,2.2366180419921875,2.2366180419921875,0.0
20,600.0,40.0,135.17208862304688,0.3333333333333333,0.0,0.0,1.0,0.0,-1.0549957275390625,-1.0549957275390625,0.0
21,630.0,42.0,130.50674438476562,0.35,0.0,0.0,1.0,0.0,-0.93306884765625,-0.93306884765625,0.0
22,660.0,45.0,126.3445816040039,0.36666666666666664,0.0,1.0,1.0,0.0,-0.8324325561523438,-0.8324325561523438,0.0
23,690.0,46.0,123.60991668701172,0.38333333333333336,0.0,1.0,1.0,0.0,-0.5469329833984375,-0.5469329833984375,0.0
24,720.0,49.0,124.59211730957033,0.4,0.0,0.0,1.0,0.0,0.1964401245117216,0.1964401245117216,0.0
25,750.0,50.0,128.509033203125,0.4166666666666667,0.0,0.0,1.0,0.0,0.7833831787109347,0.7833831787109347,0.0
26,780.0,52.0,119.12857055664062,0.43333333333333335,0.0,1.0,1.0,0.0,-1.876092529296875,-1.876092529296875,0.0
27,810.0,54.0,119.94701385498048,0.45,0.0,0.0,1.0,0.0,0.16368865966797158,0.16368865966797158,0.0
28,840.0,56.0,105.73467254638672,0.4666666666666667,0.0,1.0,1.0,0.0,-2.8424682617187527,-2.8424682617187527,0.0
29,870.0,58.0,79.31597900390625,0.48333333333333334,0.0,1.0,1.0,0.0,-5.283738708496093,-5.283738708496093,0.0
30,900.0,60.0,70.7187728881836,0.5,0.0,1.0,1.0,0.0,-1.7194412231445313,-1.7194412231445313,0.0
31,930.0,62.0,70.01177215576172,0.5166666666666667,0.0,1.0,1.0,0.0,-0.141400146484375,-0.141400146484375,0.0
32,960.0,65.0,39.577186584472656,0.5333333333333333,0.0,1.0,1.0,0.0,-6.086917114257813,-6.086917114257813,0.0
33,990.0,67.0,63.15224456787109,0.55,0.0,0.0,1.0,0.0,4.715011596679686,4.715011596679686,0.0
34,1020.0,68.0,71.92916870117188,0.5666666666666667,0.0,0.0,1.0,0.0,1.7553848266601577,1.7553848266601577,0.0
35,1050.0,71.0,85.42961120605469,0.5833333333333334,0.0,0.0,1.0,0.0,2.7000885009765625,2.7000885009765625,0.0
36,1080.0,72.0,124.82899475097656,0.6,0.0,0.0,1.0,0.0,7.879876708984375,7.879876708984375,0.0
37,1110.0,74.0,127.13239288330078,0.6166666666666667,0.0,0.0,1.0,0.0,0.46067962646484373,0.46067962646484373,0.0
38,1140.0,0.0,157.12249908447265,0.6333333333333333,0.0,0.0,1.0,0.0,5.998021240234374,5.998021240234374,0.0
39,1170.0,0.0,157.12249908447265,0.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,1200.0,0.0,157.12249908447265,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,1230.0,79.0,142.0677490234375,0.6833333333333333,0.0,0.0,1.0,0.0,-3.0109500122070303,-3.0109500122070303,0.0
42,1260.0,80.0,132.62757873535156,0.7,0.0,0.0,1.0,0.0,-1.8880340576171875,-1.8880340576171875,0.0
43,1290.0,82.0,91.29813385009766,0.7166666666666667,0.0,1.0,1.0,0.0,-8.265888977050782,-8.265888977050782,0.0
