,frame,xmin,ymin,xmax,ymax,confidence,class,name
0,0,76.69734191894531,112.38300323486328,116.215576171875,130.89950561523438,0.8727489113807678,15,mouse
1,30,85.5186538696289,113.25635528564453,113.80619049072266,132.15557861328125,0.9441717863082886,15,mouse
2,30,49.83805465698242,38.39262008666992,96.12826538085938,59.35493087768555,0.5025026798248291,15,mouse
3,60,88.48197937011719,113.79769134521484,115.04774475097656,132.26693725585938,0.9214784502983093,15,mouse
4,60,60.44625473022461,38.6324462890625,97.09249877929688,58.37421417236328,0.5142378211021423,15,mouse
5,90,86.05683135986328,113.46031188964844,113.36083221435547,132.3834228515625,0.9395102262496948,15,mouse
6,90,103.98419952392578,37.78804016113281,138.59503173828125,57.441566467285156,0.49050116539001465,15,mouse
7,120,85.54823303222656,114.40193176269531,111.88055419921875,133.98753356933594,0.9418283104896545,15,mouse
8,120,145.86427307128906,44.976829528808594,183.71250915527344,61.999046325683594,0.8994437456130981,15,mouse
9,150,155.1639862060547,42.378440856933594,183.9209442138672,61.262847900390625,0.8763123750686646,15,mouse
10,150,88.05850982666016,113.75279998779297,106.13892364501953,135.0710906982422,0.4396936297416687,15,mouse
11,180,157.95236206054688,43.14085388183594,183.23294067382812,61.76988983154297,0.8335879445075989,15,mouse
12,180,40.84770965576172,109.15831756591797,91.17121124267578,131.16448974609375,0.6428206562995911,15,mouse
13,210,159.61224365234375,41.54996109008789,183.6141357421875,60.88553237915039,0.8466062545776367,15,mouse
14,210,66.54117584228516,112.80205535888672,97.5923080444336,132.23822021484375,0.8402555584907532,15,mouse
15,240,72.63279724121094,112.02650451660156,100.66714477539062,130.68258666992188,0.9296024441719055,15,mouse
16,240,162.78623962402344,41.607200622558594,184.5897979736328,59.73414611816406,0.9207977056503296,15,mouse
17,270,68.94548797607422,112.11551666259766,96.9115219116211,131.37002563476562,0.929664671421051,15,mouse
18,270,159.79507446289062,42.32163619995117,183.29266357421875,60.867244720458984,0.8357359170913696,15,mouse
19,300,70.01112365722656,113.38778686523438,96.97056579589844,132.348388671875,0.8852039575576782,15,mouse
20,300,164.65431213378906,42.29239273071289,184.84214782714844,60.3156623840332,0.7565872073173523,15,mouse
21,330,69.9569091796875,112.33201599121094,98.95524597167969,131.36038208007812,0.9257242679595947,15,mouse
22,330,160.07984924316406,42.03589630126953,184.7289276123047,60.29157257080078,0.8462762236595154,15,mouse
23,360,68.39873504638672,111.95684051513672,95.16617584228516,129.80975341796875,0.9456585049629211,15,mouse
24,360,155.91751098632812,42.61624526977539,183.2459716796875,59.9861946105957,0.9401100873947144,15,mouse
25,390,65.44566345214844,112.74447631835938,92.4560546875,131.15283203125,0.952176034450531,15,mouse
26,390,156.4573974609375,41.32575225830078,184.63558959960938,59.50780487060547,0.9313554167747498,15,mouse
27,420,128.90672302246094,42.7618293762207,160.2865753173828,60.878055572509766,0.9030699729919434,15,mouse
28,420,65.45561218261719,110.77178955078125,92.96183776855469,131.2365264892578,0.7690143585205078,15,mouse
29,450,107.749755859375,116.78548431396484,145.9890899658203,135.90597534179688,0.9342827200889587,15,mouse
30,450,131.31895446777344,42.040260314941406,160.3268585205078,60.90235137939453,0.9097381830215454,15,mouse
31,480,118.21466064453125,42.66199493408203,148.746826171875,58.61273956298828,0.9481999278068542,15,mouse
32,480,121.22682189941406,119.15523529052734,155.82847595214844,137.83009338378906,0.9439333081245422,15,mouse
33,510,126.28602600097656,118.07539367675781,160.0596466064453,137.2338409423828,0.8299136161804199,15,mouse
34,510,88.98506927490234,39.13114547729492,120.26891326904297,57.39481735229492,0.5563957095146179,15,mouse
35,540,122.40339660644531,118.02000427246094,149.4364471435547,138.0669708251953,0.8440782427787781,15,mouse
36,540,47.096248626708984,36.07571792602539,93.083740234375,58.5512809753418,0.4706224501132965,15,mouse
37,600,97.5257568359375,115.69132995605469,130.6692352294922,135.3134002685547,0.9521379470825195,15,mouse
